"ngrams","I","n","S"
"a","A",1,"Astro"
"aiin","A",11,"Astro"
"aiir","A",1,"Astro"
"ain","A",1,"Astro"
"ainy","A",1,"Astro"
"air","A",2,"Astro"
"ais","A",1,"Astro"
"al","A",3,"Astro"
"alamchy","A",1,"Astro"
"alchey","A",1,"Astro"
"aldaiin","A",1,"Astro"
"aldy","A",2,"Astro"
"aloiin","A",1,"Astro"
"aly","A",1,"Astro"
"am","A",3,"Astro"
"amy","A",1,"Astro"
"ar","A",7,"Astro"
"aral","A",1,"Astro"
"araly","A",1,"Astro"
"aram","A",1,"Astro"
"archeor","A",1,"Astro"
"aroka","A",1,"Astro"
"ary","A",2,"Astro"
"asa","A",1,"Astro"
"cckheor","A",1,"Astro"
"ch","A",1,"Astro"
"chcs","A",1,"Astro"
"chdar","A",1,"Astro"
"chdchol","A",1,"Astro"
"chdy","A",1,"Astro"
"che","A",1,"Astro"
"chear","A",1,"Astro"
"chedady","A",1,"Astro"
"chedaiin","A",1,"Astro"
"chedaly","A",1,"Astro"
"chedar","A",1,"Astro"
"chedy","A",1,"Astro"
"cheekchey","A",1,"Astro"
"cheeky","A",1,"Astro"
"cheeteey","A",1,"Astro"
"cheey","A",4,"Astro"
"chekchy","A",1,"Astro"
"chekeey","A",1,"Astro"
"chekeys","A",1,"Astro"
"chekody","A",2,"Astro"
"cheky","A",1,"Astro"
"cheo","A",4,"Astro"
"cheoal","A",1,"Astro"
"cheockhedchy","A",1,"Astro"
"cheockhey","A",1,"Astro"
"cheockhy","A",1,"Astro"
"cheodaiir","A",1,"Astro"
"cheody","A",4,"Astro"
"cheol","A",2,"Astro"
"cheor","A",4,"Astro"
"cheos","A",1,"Astro"
"cheoteeo","A",1,"Astro"
"chesy","A",1,"Astro"
"chetal","A",1,"Astro"
"chetechy","A",1,"Astro"
"cheteedy","A",1,"Astro"
"cheteey","A",1,"Astro"
"chetegy","A",1,"Astro"
"chetey","A",1,"Astro"
"chety","A",1,"Astro"
"chey","A",2,"Astro"
"chkchykoly","A",1,"Astro"
"chkeody","A",1,"Astro"
"chkey","A",1,"Astro"
"chkorchy","A",1,"Astro"
"chky","A",1,"Astro"
"cho","A",3,"Astro"
"chocfhy","A",1,"Astro"
"chockhdy","A",1,"Astro"
"chockhy","A",1,"Astro"
"chocphy","A",1,"Astro"
"choctheeey","A",1,"Astro"
"chod","A",1,"Astro"
"chodal","A",1,"Astro"
"chodalg","A",1,"Astro"
"chodar","A",1,"Astro"
"chodchy","A",1,"Astro"
"chody","A",1,"Astro"
"choeey","A",1,"Astro"
"choikhedy","A",1,"Astro"
"chok","A",1,"Astro"
"chokal","A",1,"Astro"
"chokchy","A",1,"Astro"
"chokeeey","A",1,"Astro"
"chokeey","A",1,"Astro"
"chokeody","A",1,"Astro"
"chokol","A",1,"Astro"
"choky","A",1,"Astro"
"chol","A",6,"Astro"
"cholar","A",1,"Astro"
"chor","A",2,"Astro"
"chos","A",3,"Astro"
"chotedy","A",1,"Astro"
"choteedy","A",1,"Astro"
"choteey","A",2,"Astro"
"choteoky","A",1,"Astro"
"chotey","A",1,"Astro"
"chparam","A",1,"Astro"
"chpiir","A",1,"Astro"
"chpor","A",1,"Astro"
"chso","A",1,"Astro"
"chteey","A",2,"Astro"
"chteokeeiin","A",1,"Astro"
"chy","A",4,"Astro"
"chykchr","A",1,"Astro"
"chykchy","A",1,"Astro"
"cpchety","A",1,"Astro"
"cpheeody","A",1,"Astro"
"cpheey","A",1,"Astro"
"cphocthy","A",1,"Astro"
"cphol","A",1,"Astro"
"cphy","A",1,"Astro"
"cthey","A",1,"Astro"
"cthody","A",1,"Astro"
"cthy","A",1,"Astro"
"cthyd","A",1,"Astro"
"daiin","A",12,"Astro"
"daiir","A",7,"Astro"
"dain","A",3,"Astro"
"dair","A",7,"Astro"
"dairal","A",1,"Astro"
"dairkal","A",1,"Astro"
"dakan","A",1,"Astro"
"dakeey","A",1,"Astro"
"dal","A",6,"Astro"
"dalaiin","A",1,"Astro"
